Offset	Automated?	Possible Prompt 0	Possible Prompt 1	Possible Prompt 2
0:10	Y	Hello.	 	
0:11	Y	I am Serenity.	 	 
0:13	Y	Your facilitator for today’s world-building session.	 	
0:15	Y	Feel free to use the chat function to type in answers you may not feel comfortable articulating verbally.	 	
0:20	N	Open time for intros	 	
			 	
10:00	Y	Welcome to the year 2050.	 	
	Y	We’d like to ask you to introduce yourselves. Who are you and why are you here?	 	
	Y	This world is a protopia — not a dystopia. We are living here together in an aspirational future.	 	
	Y	Are there any values you have in common? Here in 2050? Please discuss.	 	
	Y	Can you share the best moment you’ve had since 2040? Please discuss.	 	
	Y	Here in 2050 — Who is your best friend?	Here in 2050 — Who loves you the most?	
	Y	Here in 2050 — Who or what do you love most?	What is your passion in 2050?	
	Y	What does home mean in 2050?	Where do you live now in 2050?	
	Y	Are you in pain? If so, what can we do to help heal or soothe your pain in this moment?	 	
	Y	Please make a list of 3 values that you would like everyone to share with you here in 2050.	 	
	Y	Please share 3 artifacts which exist here in 2050 which were created in 2020.	 	
	Y	What was the biggest obstacle this world faced in turning these artifacts from conceptual ideas and into tangible outcomes and objects?	 	
	Y	How did this world overcome that obstacle?	 	
	Y	Do you like this world you’re standing in now?	 	
	Y	How does it feel?	 	
	Y	If you could give this 2050 world you’re standing in — a name — what would it be?	 	
	Y	Please vote on a name and type it into the chat.	 	
	Y	Thank you.	 	
	Y	We are now returning to 2020.	 	
	Y	Processing.	 	
	Y	Processing.	 	
	Y	We have returned to the year of the Breakdown. Breakdown 2020.	 	
	Y	May we pause for a moment to take in all we have shared with one another? To crystalize our connection and bond?	 	
	Y	Thank you.	 	
	Y	Can you please share 3 actions you can take to make your 2050 world a reality today in 2020?	 	
	Y	Let’s make this world real together.	 	
	Y	We’ll be in touch	 	
